"Time","Moving Average1"
0,0
7.1054273576010024e-20,3.623829783359023e-30
2.4983432844511943e-06,0.0055036677470577501
2.4983432844513006e-06,0.0055036677470582619
2.4999999999999291e-06,0.0055057194544123923
2.5000000000000002e-06,0.0055057194544124808
2.501658913998264e-06,0.0055077738821023969
2.5016589139984774e-06,0.0055077738821026614
7.4999999999997876e-06,0.067791177996822174
7.500000000000001e-06,0.06779117799682681
9.9999999999997162e-06,0.13653511936409052
1.0000000000000001e-05,0.13653511936410012
1.2491731735156518e-05,0.23225461056659996
1.2491731735156874e-05,0.23225461056661623
1.2499999999999645e-05,0.23248985227261659
1.2500000000000001e-05,0.23248985227262697
1.2508279167542576e-05,0.2326574929805636
1.2508279167543074e-05,0.23265749298057256
1.7499999999999504e-05,0.4941262705443778
1.7500000000000002e-05,0.4941262705444131
1.9999999999999432e-05,0.65903637034391149
2.0000000000000002e-05,0.65903637034395512
2.2485197184214692e-05,0.84469750040361169
2.2485197184215329e-05,0.84469750040366665
2.2499999999999361e-05,0.84560891247385672
2.2500000000000001e-05,0.84560891247389891
2.2514822000314053e-05,0.84636300442151169
2.2514822000314832e-05,0.84636300442153622
2.7499999999999218e-05,1.2817717162005295
2.7500000000000001e-05,1.281771716200619
2.999999999999915e-05,1.5304937754858692
3.0000000000000004e-05,1.5304937754859669
3.2478810164886549e-05,1.796197046793794
3.2478810164887471e-05,1.7961970467939066
3.2499999999999082e-05,1.7981818930703262
3.2500000000000004e-05,1.7981818930704181
3.2521216552779183e-05,1.7999335207770151
3.2521216552780254e-05,1.7999335207770617
3.749999999999894e-05,2.3881166975136505
3.7500000000000003e-05,2.3881166975138122
3.9999999999998865e-05,2.7094035549777793
4.0000000000000003e-05,2.7094035549779463
4.2472621341713875e-05,3.0431277115628643
4.2472621341715081e-05,3.0431277115630495
4.2499999999998797e-05,3.0464711984501087
4.2500000000000003e-05,3.0464711984502633
4.2527411918778941e-05,3.049522497493963
4.2527411918780296e-05,3.0495224974940358
4.7499999999998654e-05,3.7653133303238109
4.7500000000000003e-05,3.7653133303240582
4.9999999999998579e-05,4.1460357612424881
5.0000000000000002e-05,4.1460357612427341
5.2466684557144561e-05,4.5341373871227102
5.2466684557146234e-05,4.5341373871230086
5.2499999999998511e-05,4.5389935787104188
5.2500000000000002e-05,4.5389935787106443
5.2533354081716218e-05,4.5435178368799622
5.2533354081717858e-05,4.5435178368800626
5.7499999999998369e-05,5.3587549266480252
5.7500000000000002e-05,5.3587549266483654
5.9419966792496694e-05,5.67570343162458
5.9999999999998301e-05,5.7844103819610835
6.0000000000000008e-05,5.7844103819614157
6.1919966792496701e-05,6.108679920511749
6.2461045490239163e-05,6.2121434565776497
6.2461045490240952e-05,6.2121434565780005
6.2499999999998226e-05,6.218527647267023
6.2500000000000001e-05,6.2185276472673232
6.2538997275946872e-05,6.2245597757934759
6.2538997275948796e-05,6.2245597757936046
6.7499999999998076e-05,7.1091309204473667
6.7500000000000001e-05,7.1091309204477993
6.9999999999998015e-05,7.5643697414406059
7.0000000000000007e-05,7.5643697414409816
7.2455722110059556e-05,8.0164958455669044
7.2455722110062213e-05,8.0164958455674071
7.249999999999794e-05,8.0241982344422809
7.25e-05,8.0241982344426557
7.254432355203258e-05,8.0316383729231013
7.2544323552034776e-05,8.0316383729232559
7.7499999999997791e-05,8.9545207503402793
7.75e-05,8.9545207503407944
7.999999999999773e-05,9.4236711055582418
8.0000000000000007e-05,9.4236711055587232
8.2450736852967014e-05,9.8845979332095197
8.2450736852970145e-05,9.8845979332101823
8.2499999999997669e-05,9.8935674492913179
8.2500000000000013e-05,9.8935674492917567
8.2549310554359801e-05,9.9021948552879877
8.2549310554362295e-05,9.9021948552881618
8.7499999999997519e-05,10.832475834002558
8.7500000000000013e-05,10.832475834003141
8.9999999999997444e-05,11.300055756991602
9.0000000000000006e-05,11.30005575699214
9.2446096472740362e-05,11.754874512795217
9.2446096472743777e-05,11.754874512795929
9.2499999999997383e-05,11.764684213336041
9.2500000000000012e-05,11.764684213336533
9.2553951681088786e-05,11.774176905603404
9.255395168109155e-05,11.774176905603596
9.7499999999997247e-05,12.682014481623119
9.7500000000000012e-05,12.682014481623751
9.9999999999997159e-05,13.133212178326911
0.0001,13.133212178327486
0.00010244179600436265,13.567769524160283
0.00010244179600436616,13.567769524160985
0.0001024999999999971,13.578014500190111
0.00010250000000000001,13.578014500190633
0.0001025582520996113,13.587976222576462
0.00010255825209961437,13.587976222576657
0.00010749999999999696,14.445479855532614
0.00010750000000000001,14.445479855533268
0.00010999999999999687,14.866591620385229
0.00011,14.866591620385821
0.00011243781988310254,15.267978263176223
0.00011243781988310602,15.267978263176865
0.00011249999999999681,15.278212118228222
0.00011250000000000001,15.278212118228758
0.00011256222760906546,15.288201645246193
0.0001125622276090688,15.288201645246389
0.00011749999999999668,16.070213466454263
0.00011750000000000001,16.070213466454909
0.00011898723037317231,16.284783755505664
0.0001197090601913667,16.400359097939333
0.0001199999999999966,16.449028239183569
0.00012000000000000002,16.44902823918417
0.00012072182981819441,16.54632267404714
0.00012243415327654319,16.805921551053448
0.00012243415327654666,16.805921551054016
0.00012249999999999655,16.815684267788775
0.00012250000000000002,16.815684267789301
0.00012256589328333903,16.825244283671964
0.0001225658932833426,16.825244283672138
0.00012749999999999638,17.510006095294791
0.00012750000000000001,17.510006095295417
0.00012999999999999633,17.836128369238505
0.00013000000000000002,17.836128369238981
0.00013243074201925716,18.13908402700558
0.0001324307420192609,18.139084027006081
0.00013249999999999625,18.147914705062956
