"Time","Moving Average1"
0,0
7.1054273576010024e-20,3.623829783359023e-30
2.4968541165222892e-06,0.0054965031156865869
2.4968541165223603e-06,0.0054965031156869303
2.4999999999999291e-06,0.005500394399131912
2.5000000000000002e-06,0.0055003943991319996
2.5031538198911395e-06,0.005504295491308246
2.503153819891353e-06,0.0055042954913085097
7.4999999999997876e-06,0.067765948066029882
7.500000000000001e-06,0.067765948066034518
9.9999999999997162e-06,0.13650274341384405
1.0000000000000001e-05,0.13650274341385363
1.2484299592322641e-05,0.23187944401445862
1.2484299592322997e-05,0.23187944401447488
1.2499999999999645e-05,0.23232555485207404
1.2500000000000001e-05,0.23232555485208442
1.2515739766689815e-05,0.23264366214040552
1.2515739766690313e-05,0.23264366214041446
1.7499999999999504e-05,0.49348672689699424
1.7500000000000002e-05,0.49348672689702944
1.9999999999999432e-05,0.65822597041525632
2.0000000000000002e-05,0.65822597041529984
2.2471890796204103e-05,0.842628038391534
2.2471890796204747e-05,0.8426280383915894
2.2499999999999361e-05,0.8443545100545099
2.2500000000000001e-05,0.84435451005455209
2.2528178463255484e-05,0.84578417542044537
2.2528178463256304e-05,0.84578417542047124
2.7499999999999218e-05,1.2791877737340622
2.7500000000000001e-05,1.2791877737341513
2.999999999999915e-05,1.5274010261740725
3.0000000000000004e-05,1.5274010261741702
3.245976100462229e-05,1.7904385719864528
3.2459761004623211e-05,1.7904385719865652
3.2499999999999082e-05,1.7941946001065467
3.2500000000000004e-05,1.7941946001066382
3.2540335460863254e-05,1.7975124609997455
3.2540335460864372e-05,1.7975124609997941
3.749999999999894e-05,2.3817564160933893
3.7500000000000003e-05,2.38175641609355
3.9999999999998865e-05,2.7021012461146783
4.0000000000000003e-05,2.7021012461148444
4.2448005666555499e-05,3.0314536411426456
4.2448005666556706e-05,3.0314536411428299
4.2499999999998797e-05,3.0377755845994123
4.2500000000000003e-05,3.037775584599566
4.2552114444731885e-05,3.0435507551040395
4.2552114444733701e-05,3.0435507551041363
4.7499999999998654e-05,3.7532095579544267
4.7500000000000003e-05,3.7532095579546731
4.9999999999998579e-05,4.1325583983701755
5.0000000000000002e-05,4.1325583983704206
5.2436726246916972e-05,4.5145024455842151
5.2436726246918463e-05,4.5145024455844789
5.2499999999998511e-05,4.5236797783778675
5.2500000000000002e-05,4.5236797783780931
5.256341332644284e-05,4.5322382042847629
5.256341332644448e-05,4.5322382042848623
5.7499999999998369e-05,5.3392203280524955
5.7500000000000002e-05,5.3392203280528339
5.9421217459777723e-05,5.655071335812548
5.9999999999998301e-05,5.7631766607856543
6.0000000000000008e-05,5.7631766607859847
6.192121745977773e-05,6.0869205371216193
6.2426008806839211e-05,6.183112931879764
6.2426008806841e-05,6.183112931880113
6.2499999999998226e-05,6.1951757475268616
6.2500000000000001e-05,6.1951757475271609
6.2574145733990862e-05,6.2065841636279693
6.2574145733992786e-05,6.2065841636280963
6.7499999999998076e-05,7.0811744870057032
6.7500000000000001e-05,7.0811744870061357
6.9999999999998015e-05,7.5345946594978503
7.0000000000000007e-05,7.5345946594982234
7.2415887264398146e-05,7.9777239838966834
7.2415887264400206e-05,7.9777239838970715
7.249999999999794e-05,7.9922796469727908
7.25e-05,7.9922796469731612
7.2584277816292318e-05,8.0063538705129211
7.2584277816294514e-05,8.0063538705130739
7.7499999999997791e-05,8.9182158720123006
7.75e-05,8.918215872012814
7.999999999999773e-05,9.3857176484280487
8.0000000000000007e-05,9.3857176484285283
8.240640431882897e-05,9.8368125702870195
8.2406404318831328e-05,9.8368125702875169
8.2499999999997669e-05,9.8537777959216513
8.2500000000000013e-05,9.8537777959220882
8.2593767156240538e-05,9.8701097667087971
8.2593767156243032e-05,9.8701097667089712
8.7499999999997519e-05,10.789250618186907
8.7500000000000013e-05,10.78925061818749
8.9999999999997444e-05,11.255702764135458
9.0000000000000006e-05,11.255702764135997
9.2397573386395537e-05,11.700603180965709
9.2397573386398166e-05,11.700603180966255
9.2499999999997383e-05,11.719184289357347
9.2500000000000012e-05,11.719184289357836
9.2602600871009801e-05,11.737179106930867
9.2602600871012565e-05,11.737179106931055
9.7499999999997247e-05,12.634831863863042
9.7500000000000012e-05,12.634831863863674
9.9999999999997159e-05,13.085804580185069
0.0001,13.085804580185647
0.00010238938622006866,13.511098886468506
0.00010238938622007156,13.511098886469084
0.0001024999999999971,13.530548792571732
0.00010250000000000001,13.530548792572255
0.00010261078791878769,13.549474753104185
0.00010261078791879075,13.549474753104377
0.00010749999999999696,14.398890512100676
0.00010750000000000001,14.398890512101335
0.00010999999999999687,14.821060717528644
0.00011,14.821060717529233
0.00011238181501283206,15.214600745238901
0.00011238181501283526,15.214600745239489
0.00011249999999999681,15.234095728738591
0.00011250000000000001,15.234095728739131
0.00011261835693079487,15.253138146838355
0.00011261835693079968,15.253138146838634
0.00011749999999999668,16.030276278719054
0.00011750000000000001,16.030276278719704
0.00011898814301451891,16.246355792929354
0.00011970989504812088,16.362837326103865
0.0001199999999999966,16.411779447759923
0.00012000000000000002,16.41177944776053
0.00012072175203360199,16.5100821375535
0.00012237483375671074,16.762968522968198
0.00012237483375671522,16.762968522968933
0.00012249999999999655,16.781658962808208
0.00012250000000000002,16.781658962808734
0.0001226253347633574,16.799972853985068
0.00012262533476336198,16.799972853985302
0.00012749999999999638,17.484083961570949
0.00012750000000000001,17.484083961571574
0.00012999999999999633,17.814807325792657
0.00013000000000000002,17.81480732579314
0.00013236834256043017,18.114852973363558
0.00013236834256043391,18.114852973364062
0.00013249999999999625,18.131884434817525
0.00013250000000000002,18.131884434818019
